stop_id,stop_name,stop_desc,stop_lat,stop_lon,served_lines,accessible_pmr,has_elevator,has_escalator,address,city,insee,zone,lon,lat
3317,Grand Chassagnon,29 RUE NOEL DESCORMES,45.70196923216,4.863416905941,93:R,False,False,False,29 RUE NOEL DESCORMES,Saint-Fons,69199.0,1,4.863416905941,45.70196923216
3321,Marcy Sources,500 AVENUE MARCEL MERIEUX,45.787437587068,4.706867936904,"98:R,JD658:A,JD789:A",True,False,False,500 AVENUE MARCEL MERIEUX,Marcy-l'Étoile,69127.0,2,4.706867936904,45.787437587068
3322,Marcy Sources,500 AVENUE MARCEL MERIEUX,45.788213982723,4.707099022804,"72:R,98:A,GE6:A,JD658:R,JD788:R,JD789:R",True,False,False,500 AVENUE MARCEL MERIEUX,Marcy-l'Étoile,69127.0,2,4.707099022804,45.788213982723
3327,Jodino - A.F.P.A.,33 BOULEVARD DE JODINO,45.691209999397,4.88302401541,39:R,True,False,False,33 BOULEVARD DE JODINO,Vénissieux,69259.0,1,4.88302401541,45.691209999397
33284,Ste Foy Les Sources,2 RUE CHATELAIN,45.740981397587,4.789130725483,90:A,False,False,False,2 RUE CHATELAIN,Sainte-Foy-lès-Lyon,69202.0,1,4.789130725483,45.740981397587
33285,Ste Foy Les Sources,2 RUE CHATELAIN,45.741020040738,4.789182968215,90:R,False,False,False,2 RUE CHATELAIN,Sainte-Foy-lès-Lyon,69202.0,1,4.789182968215,45.741020040738
33288,Ste Foy Châtelain,45 RUE CHATELAIN,45.736197257286,4.794688966704,90:A,False,False,False,45 RUE CHATELAIN,Sainte-Foy-lès-Lyon,69202.0,1,4.794688966704,45.736197257286
334,Caluire Place Foch,76 MONTEE DES SOLDATS,45.797851871602,4.851764017022,"70:A,9:A,C1:A,C2:A,JD202:R,JD203:R",True,False,False,76 MONTEE DES SOLDATS,Caluire-et-Cuire,69034.0,1,4.851764017022,45.797851871602
3342,Square Meunier,46 CHEMIN DE GRANGE BLANCHE,45.665955004594,4.904075995244,"54:A,JD11:A",True,False,False,46 CHEMIN DE GRANGE BLANCHE,Corbas,69273.0,1,4.904075995244,45.665955004594
33429,Petite Guille,15 RUE HENRI BARBUSSE,45.730889014506,4.857939022651,"34:R,JD981:A",True,False,False,15 RUE HENRI BARBUSSE,Lyon 8e Arrondissement,69388.0,1,4.857939022651,45.730889014506
23553,Montagny Place de Sourzy,Montagny Place de Sourzy,45.621713,4.747319,"220:A,JD722:R,JD745:A,JD784:R",True,,,,,,2,4.747319,45.621713
23554,Montagny Mairie,Montagny Mairie,45.620498,4.747218,JD703:A,False,,,,,,2,4.747218,45.620498
23555,Montagny Mairie,Montagny Mairie,45.620371,4.74725,JD703:R,False,,,,,,2,4.74725,45.620371
23556,Montagny Route du Bourg,Montagny Route du Bourg,45.627851,4.741439,"220:A,JD745:A,JD784:R",False,,,,,,2,4.741439,45.627851
23557,Montagny Route du Bourg,Montagny Route du Bourg,45.627792,4.741392,"220:R,JD745:R,JD784:A",False,,,,,,2,4.741392,45.627792
23558,Montagny Route de Millery,Montagny Route de Millery,45.630511,4.757665,JD784:A,False,,,,,,2,4.757665,45.630511
23559,Montagny Route de Millery,Montagny Route de Millery,45.630091,4.757749,JD784:R,False,,,,,,2,4.757749,45.630091
23560,Montagny Route de Sourzy,Montagny Route de Sourzy,45.616598,4.768439,"220:A,JD703:A,JD722:R,JD726:R",True,,,,,,2,4.768439,45.616598
23561,Montagny Route de Sourzy,Montagny Route de Sourzy,45.616521,4.768269,"220:R,JD703:R,JD722:A,JD726:A",True,,,,,,2,4.768269,45.616521
23562,Marennes La Bascule,Marennes La Bascule,45.619112,4.911013,"212:A,JD901:R,JD905:R,JD908:A,JD912:A,JD957:A,JD998:A",True,,,,,,2,4.911013,45.619112
