libelleparcours;libellepointorigine;libellepointdestination;idtempsparcoursvlentree;idtempsparcoursvlsortie;metaparcours;idmetaparcourspereentree;idmetaparcoursperesortie;longueur;tempsparcoursentree;tempsparcourssortie;vitesseentree;vitessesortie;lat_epsg4171;long_epsg4171;observation;gid
PontIleBarbeRD / GaredeVaise;Pont de l'Ile Barbe rive droite;Gare de Vaise;237;;False;;;3000;360;;30,00;;45.791160000373004;4.81513999990567;;162
Porte de Croix-Luizet_PortedeSaint-Clair;Porte de Croix-Luizet;Porte de Saint-Clair;40;140;False;1026;1027;3100;180;180;78,00;78,00;45.79365526924897;4.877305473470105;;57
QuaiLamartine / TCroixRousse;Quai Lamartine ;Tunnel de la Croix Rousse;249;;False;;;8900;780;;41,00;;45.79927999960241;4.839779999879349;;167
Brignais / Tassin (RD342);Brignais;Tassin (RD342);1020;1021;True;;;13100;1140;1080;83,08;83,08;45.72903799999658;4.77781200054831;;40
Givors_Pont du Rhône;Givors;Pont du Rhône;4;104;False;1002;1003;16400;600;600;98,00;96,00;45.63502403798389;4.82108498690099;;185
Manissieux/Chassieu;Manissieux;Chassieu;45;145;False;1030;1031;3300;120;120;99,00;99,00;45.71780489060311;4.971016702177307;;66
Pusignan / Meyzieu;Pusignan ;Meyzieu;63;163;False;;;5000;240;240;75,00;75,00;45.76616999980586;5.056349999576022;;101
JoliotCurie / LyonCentre;Joliot Curie;Lyon Centre;191;;False;;;6100;720;;30,50;;45.74367000005966;4.853040000368129;;145
PontIleBarbeRD / LyonCentre;Pont de Ile Barbe rive droite;Lyon Centre;236;;False;;;680;720;;34,00;;45.772110000025975;4.813500000119074;;178
11novembre_EtoileAlï;Rue du 11 Novembre;Etoile d'Alaï;31;131;False;1022;1023;3700;420;420;31,70;31,70;45.74733000039899;4.750850000627302;;18
QuaiGailleton / CentreCongres;Quai Gailleton ;Centre des Congres;197;;False;;;5100;420;;44,00;;45.77085999966531;4.838169999428248;;148
DeGaulleVénissieux / MermozPinel;De Gaulle Vénissieux;Mermoz Pinel;254;;False;;;3900;540;;26,00;;45.73239000013998;4.8883900000355895;;171
TassinValvert / TCroixRousse;Tassin Valvert;Tunnel de la Croix Rousse;204;;False;;;2500;300;;30,00;;45.775929999646685;4.800439999678865;;153
Meyzieu / Part-Dieu-Villette;Meyzieu;Part-Dieu-Villette;1008;1009;True;;;15900;1020;1020;56,67;56,67;45.79249090427179;4.915592948138545;;46
Brignais (Route de Lyon) / Saint Genis (Foche);Brignais (Route de lyon);Saint genis (Foche);327;328;False;;;1800;;180;36,00;36,00;45.68152999979268;4.779160000455463;<Nul>;204
Chassieu/Pusignan;Chassieu;Pusignan;46;146;False;1030;1031;2300;120;120;90,00;90,00;45.739430516700025;4.985156777296973;;67
Pierre Bénite (Sémard) / Mulatière (Europe)  ;Pierre Bénite (Sémard)  ;Mulatière (Europe)    ;329;330;False;;;3900;540;540;26,00;26,00;45.71191000038423;4.819929999421637;<Nul>;205
Pont Galliéni / Part-Dieu;Pont Galliéni;Part-Dieu;80;;False;;;4300;660;;23,50;;45.742679999819664;4.849810000102665;;120
Saint Genis Laval (A450) / Feyzin (BUS);Saint Genis Laval (A450);Feyzin (BUS);301;;False;;;7500;300;;90,00;;45.693879999624066;4.826920000194708;;188
Porte de Croix-Luizet_Cordeliers;Porte de Croix-Luizet;Cordeliers;11;111;False;1006;1007;7200;540;600;51,30;40,80;45.78491200161578;4.864265000742294;;9
Feyzin (BUS) / Saint Genis Laval (A450);Feyzin (BUS);Saint Genis Laval (A450);302;;False;;;7726;360;;77,00;;45.69399999984593;4.826790000087891;;208
PorteduVinatier / LyonCentre;Porte du Vinatier ;Lyon Centre;95;;False;;;5946;720;;30,00;;45.7469800002898;4.867069999470799;;135
QuaiGailleton / CroixRousse;Quai Gailleton;Croix Rousse;199;;False;;;4500;360;;45,00;;45.768869999580474;4.8381499999321225;;150
Saint Genis (Foche)  / Saint Genis (Clémenceau);Saint Genis (Foche);Saint Genis (Clémenceau);325;326;False;;;2100;240;240;31,50;31,50;45.69649000028469;4.786489999680484;;203
FontainesurSaône_TCR;Fontaine-sur-Saône;Tunnel Croix Rousse;24;124;False;1018;1019;8000;720;720;40,00;40,00;45.798481001607556;4.838904000446328;;13
