stop_id,stop_name,served_lines,accessible_pmr,has_elevator,has_escalator,address,city,insee,zone,lon,lat
1,24 Août,"87:A,ZI1:A",True,False,False,9 AVENUE DU 24 AOUT 1944,Corbas,69273.0,1,4.909324275377,45.682868740966
1000,Garanjou,C7:R,True,False,False,61 RUE AMPERE,Oullins-Pierre-Bénite,69149.0,1,4.816354044796,45.70521531129
10006,Curie - Jules Guesde,"39:A,JD133:R",True,False,False,100 AVENUE JULES GUESDE,Vénissieux,69259.0,1,4.887283956869,45.70924804158
10007,Curie - Jules Guesde,"39:R,JD133:A",True,False,False,109 AVENUE JULES GUESDE,Vénissieux,69259.0,1,4.887365859502,45.709249329708
10008,Pont de l'Université,JD972:R,True,False,False,22 QUAI DOCTEUR GAILLETON,Lyon 2e Arrondissement,69382.0,1,4.834585243243,45.753975904882
1001,Garantèze,"15:A,18:A,JD267:R",True,False,False,41 RUE DAISY GEORGES MARTIN,Irigny,69100.0,1,4.825549329165,45.678449890299
10012,Pressensé - Marrane,35:A,True,False,False,130 AVENUE FRANCIS DE PRESSENSE,Vénissieux,69259.0,1,4.865175997031,45.7233779613
10017,Francheville Bourg,"C20:A,C20E:A,JD211:R,JD982:R",True,False,False,1 RUE DE LA MAIRIE,Francheville,69089.0,1,4.764481040525,45.737043800658
10018,Francheville Bourg,"C20:R,C20E:R,JD211:A,JD982:A",True,False,False,6 PLACE DU BOURG,Francheville,69089.0,1,4.764068269569,45.736719693287
1002,Garantèze,"15:R,18:R,JD267:A,JD979:A",True,False,False,32 RUE DAISY GEORGES MARTIN,Irigny,69100.0,1,4.825600234174,45.678439759111
10075,Combe au Loup,"67:A,JD135:R,JD136:R",True,False,False,14 AVENUE DE VERDUN,Meyzieu,69282.0,1,4.986475941422,45.774769017293
10076,Combe au Loup,"67:R,JD136:A",True,False,False,14 AVENUE DE VERDUN,Meyzieu,69282.0,1,4.986199981652,45.774741771491
10081,St-Irenée - Cx Blanche,"49:A,C20:A,C20E:A,JD982:R",True,False,False,32 RUE COMMANDANT CHARCOT,Lyon 5e Arrondissement,69385.0,1,4.807751116429,45.755145825903
10082,St-Irenée - Cx Blanche,"49:R,C20:R,C20E:R,JD982:A",True,False,False,28 RUE COMMANDANT CHARCOT,Lyon 5e Arrondissement,69385.0,1,4.807996398254,45.755167430314
1027,Danton - République,"JD120:R,JD130:A,JD19:R,JD25:R,JD251:R,JD294:A,JD941:R,JD943:R",False,False,False,1 RUE DE LA REPUBLIQUE,Genas,69277.0,2,5.001792445697,45.731766994782
10340,Maison de l'Aqueduc,14:R,False,False,False,68 ROUTE DE LA LIBERATION,Sainte-Foy-lès-Lyon,69202.0,1,4.778484541485,45.727315953555
10442,Cogny,"3:A,JD151:R",True,False,False,330 ROUTE D ECULLY,Dardilly,69072.0,1,4.756302457798,45.800992312353
10444,Dardilly le Paillet,"3:R,3:A,JD32:R,JD36:A,JD36:R,JD818:R,JD818:A",False,False,False,22 ROUTE DE LA TOUR DE SALVAGNY,Dardilly,69072.0,1,4.748888270789,45.822655104316
10445,Le Bouquis,"3:A,GE4:A,JD151:R,JD171:R,JD32:R,JD843:R",True,False,False,20 ROUTE DE LIMONEST,Dardilly,69072.0,1,4.755292991018,45.823778974392
10446,Le Bouquis,"3:R,GE4:R,JD151:A,JD171:A,JD32:A,JD843:A",True,False,False,16 ROUTE DE LIMONEST,Dardilly,69072.0,1,4.75436399862,45.823594995459
10447,Les Marsaults,"3:A,GE4:A,JD151:R,JD171:R,JD32:R,JD697:A,JD843:R",True,False,False,0 CHEMIN DE CHARRIERE,Dardilly,69072.0,1,4.757298136484,45.822726347257
10025,La Dangereuse,"77:A,JD73:A",True,False,False,0 ROUTE DE SAINT TRIVIER,Cailloux-sur-Fontaines,69033.0,1,4.878126002373,45.853371965963
10026,La Dangereuse,"77:R,JD73:R,JD74:A,JD76:R,JD79:R",True,False,False,0 ROUTE DE SAINT TRIVIER,Cailloux-sur-Fontaines,69033.0,1,4.878006048148,45.853338040452
10084,Porte des Alpes,52:A,True,False,False,11 BOULEVARD ANDRE BOULLOCHE,Saint-Priest,69290.0,1,4.923879026047,45.72016998193
1012,Gare de Vaise-G.Collomb,C14:A,True,False,False,12 RUE DU 24 MARS 1852,Lyon 9e Arrondissement,69389.0,1,4.805089502292,45.781226690744
10129,Dauphiné -Lacassagne,"25:A,C13:R,C16:A,JD981:A",True,False,False,49 AVENUE LACASSAGNE,Lyon 3e Arrondissement,69383.0,1,4.869017839753,45.753087469126
10276,Chauderaie,"14:A,JD975:R",True,False,False,27 AVENUE DU CHATER,Francheville,69089.0,1,4.772054507579,45.743198414869
10281,Alai,C22E:A,True,False,False,204 AVENUE CHARLES DE GAULLE,Tassin-la-Demi-Lune,69244.0,1,4.766825923854,45.751430623797
10289,Demi-Lune Clémenceau,"55:A,86:A,98:A",True,False,False,72 AVENUE DE LA REPUBLIQUE,Tassin-la-Demi-Lune,69244.0,1,4.776581700343,45.763829460615
1029,Genas Place Jean Jaurès,"128:A,JD126:A,JD251:R,JD294:A,JD941:R,JD943:R",False,False,False,2 RUE LAMARTINE,Genas,69277.0,2,5.016602052759,45.738257974203
10298,Vaulx HDV Campus,"57:R,PL4:R",True,False,False,16 RUE MAURICE AUDIN,Vaulx-en-Velin,69256.0,1,4.920035989099,45.777841962583
10302,La Vallonnière,"14:A,19:R,3:R,45:R,72:R,86:R,98:R,C21:A",True,False,False,0 RUE PROFESSEUR GUERIN,Lyon 9e Arrondissement,69389.0,1,4.801869022433,45.765347397364
